Type,Class,Category
Access,B6,Capacity-enhancing
Assistance,C1,Ambiguous
Boat,B1,Capacity-enhancing
Buybacks,C2,Ambiguous
Fishery Development,B2,Capacity-enhancing
Fishery Management,A1,Beneficial
Fuel,B7,Capacity-enhancing
Market Infrastructure,B4,Capacity-enhancing
MPAs,A3,Beneficial
Port,B3,Capacity-enhancing
R&D,A2,Beneficial
Rural,C3,Ambiguous
Tax,B5,Capacity-enhancing
